x,y,z,r,p,y
-1.43836,1.23631,0.0305178,85.0723,-0.216668,-0.0317689
-1.44315,1.2251,0.0301692,84.8357,-0.09706,-0.0709071
-1.44464,1.20571,0.0311106,84.6404,-0.0527639,-0.154549
-1.44766,1.18844,0.0321437,84.7242,0.0820625,-0.00695017
-1.44803,1.17247,0.0316218,84.9597,0.151498,0.0113577
-1.44963,1.15735,0.0314307,85.173,0.275039,-0.00359177
-1.45304,1.13628,0.0321756,85.3779,0.393862,-0.151922
-1.45492,1.11689,0.0297001,85.5611,0.535139,-0.0214746
-1.45444,1.09779,0.0302564,85.6372,0.661448,-0.172977
-1.45439,1.0774,0.0277546,85.7345,0.739874,-0.0240043
-1.45411,1.07531,0.0259381,85.7383,0.762174,0.0681456
-1.45286,1.08139,0.0252007,85.7253,0.738571,-0.249896
-1.45253,1.08475,0.0216269,85.6818,0.798425,0.0174044
-1.45339,1.08503,0.0221235,85.6767,0.722052,0.0352443
-1.45167,1.09023,0.0210618,85.6727,0.82733,0.0749339
-1.45186,1.09359,0.0215812,85.6785,0.709735,-0.0129645
-1.45251,1.09599,0.0225113,85.683,0.754667,-0.0205724
-1.45194,1.09835,0.0259376,85.6921,0.718877,-0.23099
-1.45563,1.10026,0.0259439,85.7015,0.729881,0.0474438
-1.45652,1.09928,0.026896,85.6903,0.726152,0.00566758
-1.45898,1.10063,0.0273081,85.7552,0.6846,0.0585512
-1.4559,1.10007,0.0299949,85.6904,0.654125,-0.210851
-1.45778,1.10199,0.0276918,85.7019,0.715117,0.0774223
-1.45974,1.09915,0.0260285,85.7382,0.739079,0.138802
-1.45965,1.09931,0.0282471,85.7008,0.660892,0.134371
-1.46009,1.09892,0.0251829,85.7118,0.744494,0.0992165
-1.45701,1.09456,0.0270739,85.7043,0.708139,-0.156202
-1.45625,1.09476,0.0264781,85.7162,0.71506,0.00479959
-1.45655,1.09432,0.0253322,85.7199,0.749781,0.0816239
-1.45738,1.09488,0.0245825,85.6995,0.756717,0.018918
-1.45751,1.09701,0.0231676,85.7449,0.758607,0.0888784
-1.45655,1.09561,0.0225954,85.6975,0.717459,0.0036895
-1.45685,1.09723,0.0210614,85.732,0.772372,0.0605625
-1.45531,1.09456,0.0242659,85.7417,0.724099,-0.231958
-1.45652,1.09448,0.0256999,85.6798,0.720124,-0.000278927
-1.45689,1.09118,0.0229562,85.6658,0.88535,0.110195
-1.45651,1.09239,0.0257168,85.7344,0.709667,-0.228905
-1.45767,1.09278,0.0266178,85.7019,0.720282,0.0603168
-1.45402,1.09032,0.0285525,85.6749,0.66631,-0.244597
-1.4553,1.09424,0.0269245,85.7269,0.71571,0.0735295
-1.45765,1.09636,0.0255104,85.6933,0.752822,0.0454667
-1.45904,1.09793,0.025884,85.7655,0.731426,-0.0275733
-1.45995,1.09997,0.0253694,85.7514,0.774468,0.0342419
-1.45987,1.09874,0.0247219,85.7204,0.718899,0.0237896
-1.4618,1.09793,0.0243273,85.7329,0.728486,0.0434506
-1.45887,1.09288,0.0249379,85.7135,0.767592,-0.180859
-1.45821,1.09271,0.0238634,85.7338,0.786415,0.0715316
-1.45991,1.09294,0.023922,85.749,0.78041,0.0189832
-1.45992,1.09358,0.0236998,85.7191,0.738786,0.0971128
-1.45901,1.09253,0.0224835,85.7096,0.791815,0.0723407
-1.4576,1.09421,0.026285,85.7151,0.684916,-0.189095
-1.45836,1.09297,0.0249114,85.7096,0.754019,0.0337872
-1.45688,1.09506,0.025497,85.6968,0.73748,0.0272862
-1.45657,1.09958,0.0266364,85.6876,0.669206,0.0145542
-1.45687,1.09854,0.0270916,85.7013,0.71981,0.0870751
-1.45792,1.09648,0.0262449,85.717,0.749273,0.0423119
-1.45593,1.09351,0.0279982,85.6756,0.753963,-0.144593
-1.45763,1.09301,0.0237543,85.8151,0.838296,0.0572738
-1.45466,1.07388,0.026419,86.2564,0.943039,-0.192992
-1.45847,1.03614,0.0251281,86.9852,1.26786,0.145527
-1.45394,0.969687,0.0232885,87.6027,1.47997,0.419399
-1.46154,0.879328,0.0239866,88.1894,1.46748,0.441093
-1.46773,0.774563,0.0252188,88.7071,1.36716,0.163507
-1.47717,0.676417,0.0288783,89.1594,1.21407,0.445122
-1.47886,0.596764,0.0311501,89.5723,1.28898,0.681787
-1.48351,0.516446,0.0270027,89.959,1.32159,0.108726
-1.48296,0.436373,0.0304209,90.5339,1.2399,0.527879
-1.48481,0.356448,0.0343757,90.9444,1.13507,0.55676
-1.48036,0.282765,0.0354474,91.1839,1.02568,0.582533
-1.47556,0.213176,0.0380615,91.5091,0.995194,0.734968
-1.47107,0.134959,0.0368208,91.6341,0.945135,0.724407
-1.46855,0.0613943,0.0425968,91.9579,0.880268,0.650403
-1.46698,-0.0158417,0.0470242,92.1865,0.996391,0.7169
-1.46156,-0.0949383,0.0405388,92.443,1.07671,0.0981549
-1.46104,-0.166347,0.0436728,92.6044,0.971229,0.611347
-1.45904,-0.234992,0.0494878,92.821,0.844645,0.687588
-1.45186,-0.303239,0.0484323,92.9571,0.868594,0.861485
-1.44856,-0.381271,0.0398998,93.2439,1.0311,0.0407953
-1.44457,-0.462223,0.0398045,93.5404,1.01622,0.820086
-1.44423,-0.551005,0.0429849,93.906,1.01052,0.871961
-1.43074,-0.640702,0.0376431,94.1014,1.06148,0.307267
-1.43287,-0.715594,0.0454677,94.1812,0.966265,0.850452
-1.4215,-0.787944,0.0382252,94.2921,1.18415,0.214044
-1.4181,-0.862504,0.048687,94.3712,1.04732,0.882528
-1.40412,-0.943087,0.0441183,94.4034,1.24062,0.272773
-1.40915,-1.02098,0.0543855,94.4128,1.02639,0.907476
-1.40629,-1.09467,0.0608204,94.5182,1.08404,1.08847
-1.40538,-1.17018,0.0664733,94.4602,1.01966,1.15298
-1.39834,-1.23331,0.0691101,94.4208,1.11899,1.25489
-1.39623,-1.30016,0.0681718,94.4933,1.12734,1.13657
-1.38524,-1.37728,0.0589541,94.4035,1.4063,0.460228
-1.38263,-1.44964,0.0618114,94.2896,1.1588,1.05724
-1.36735,-1.52783,0.0500931,94.1042,1.44237,0.304259
-1.3694,-1.6017,0.0589059,93.7822,1.15229,1.20007
-1.36723,-1.67958,0.0657938,93.4351,1.11857,1.15551
-1.36494,-1.7553,0.0693006,93.0857,1.07063,1.20557
-1.36307,-1.82633,0.0756183,92.6749,0.994179,1.25426
-1.35952,-1.89244,0.0776281,92.2691,1.05502,1.25478
-1.35404,-1.96818,0.0645109,91.8702,1.20021,0.507629
-1.35847,-2.03821,0.0728362,91.4583,1.00713,1.23785
-1.36356,-2.11172,0.0746733,91.0413,0.961434,1.17872
-1.35164,-2.18224,0.0619553,90.7399,1.31454,0.433416
-1.35792,-2.25058,0.0711515,90.2326,1.08168,1.09557
-1.3555,-2.32598,0.073043,89.9168,1.05674,1.22801
-1.35968,-2.40687,0.0824033,89.4805,1.07587,1.17318
-1.35223,-2.48421,0.0723827,89.2199,1.29729,0.368935
-1.36005,-2.55994,0.0830672,88.7397,1.09021,1.11847
-1.36455,-2.63554,0.088574,88.3626,1.05256,1.16589
-1.36818,-2.71055,0.090864,87.9663,1.08392,1.14933
-1.37177,-2.78882,0.0926766,87.636,1.04502,1.11441
-1.37129,-2.87322,0.0817256,87.2756,1.22301,0.339218
-1.37429,-2.9536,0.0887495,86.8982,1.06934,1.08472
-1.38354,-3.03591,0.0898131,86.4994,1.06284,1.07956
-1.38971,-3.11712,0.092068,86.0714,1.08596,0.998964
-1.39829,-3.19167,0.0940935,85.6727,1.11728,1.03801
-1.40235,-3.26648,0.0952657,85.3078,1.2203,1.04463
-1.40753,-3.35168,0.0809131,85.0174,1.39535,0.012947
-1.41638,-3.43139,0.0867548,84.5588,1.28087,0.701326
-1.42169,-3.51151,0.0931647,84.0879,1.2874,0.77367
-1.43,-3.58519,0.0943832,83.7285,1.28475,0.597535
-1.43752,-3.65599,0.0927681,83.3274,1.29418,0.441288
-1.44572,-3.73533,0.0782655,82.9158,1.46739,0.12525
-1.45476,-3.79948,0.0807436,82.5726,1.44126,0.251953
-1.46265,-3.86659,0.0843947,82.199,1.3898,0.124816
-1.47319,-3.93774,0.0884899,81.8193,1.39408,0.0881375
-1.48059,-4.01134,0.0918577,81.4197,1.36835,0.0848378
-1.49612,-4.09535,0.0956558,81.0361,1.3339,-0.0362446
-1.51272,-4.17625,0.0976628,80.5536,1.30959,0.0684328
-1.52537,-4.24403,0.0960849,80.1714,1.35043,0.0255931
-1.53591,-4.3133,0.0940234,79.8452,1.37948,-0.249387
-1.54587,-4.38513,0.0919325,79.5232,1.43954,-0.249109
-1.565,-4.45128,0.0973484,79.2184,1.285,-0.0888043
-1.57655,-4.52071,0.0970576,78.9613,1.30273,0.113081
-1.60043,-4.58699,0.0995394,78.7445,1.20255,-0.0768381
-1.61444,-4.64737,0.0876617,78.5929,1.27138,0.114892
-1.63523,-4.70744,0.0913685,78.19,1.23099,0.386703
-1.64363,-4.76949,0.0977363,77.9836,1.21496,0.423514
-1.66295,-4.83099,0.102199,77.7098,1.07594,0.344848
-1.67096,-4.90202,0.104943,77.4386,1.09309,0.29463
-1.68796,-4.98692,0.0913749,77.2031,1.17816,-0.146262
-1.69744,-5.06092,0.0936168,76.8999,1.08432,0.144705
-1.71148,-5.13109,0.0949522,76.7168,0.996628,-0.432732
